,Exercise,right_elbow,right_shoulder,right_hip,right_knee,right_ankle
268,2.0,23.5,35.36,111.88,158.82,144.24
422,2.0,41.64,63.86,177.41,175.85,159.97
73,0.0,125.01,162.03,153.73,172.41,162.17
97,1.0,89.52,12.18,177.37,167.8,82.1
123,1.0,99.71,19.83,173.7,175.75,82.64
364,2.0,68.6,22.22,172.02,176.0,170.51
192,1.0,175.99,70.46,173.58,163.89,86.06
266,2.0,22.15,14.07,120.84,145.41,118.65
255,1.0,119.97,39.85,162.32,154.76,68.84
114,1.0,130.52,45.03,173.63,172.75,101.04
28,0.0,174.1,16.81,177.91,179.2,169.1
250,1.0,85.38,26.4,174.94,169.96,64.97
335,2.0,39.05,32.01,153.92,153.62,139.43
247,1.0,73.42,21.14,173.42,169.1,61.07
373,2.0,84.43,28.59,172.3,170.98,158.42
412,2.0,91.7,29.59,167.69,158.69,152.9
287,2.0,65.56,13.74,179.46,173.82,149.43
168,1.0,68.0,13.02,179.94,164.61,65.43
134,1.0,168.41,70.65,176.88,169.17,86.53
296,2.0,44.15,30.9,163.43,168.28,155.06
72,0.0,122.13,146.01,151.91,179.39,161.69
356,2.0,61.66,14.43,173.47,176.58,176.0
14,0.0,120.88,158.7,158.21,158.3,133.15
86,1.0,176.61,80.26,173.41,162.17,115.32
176,1.0,73.45,18.03,176.88,167.24,61.76
285,2.0,68.27,21.29,167.03,156.79,138.96
148,1.0,139.36,45.45,177.3,159.7,66.51
174,1.0,67.57,13.18,176.79,165.43,61.94
321,2.0,45.35,30.11,138.34,121.57,121.29
225,1.0,82.52,19.43,179.61,170.46,61.11
326,2.0,46.19,31.47,125.94,102.86,112.02
220,1.0,95.77,23.14,175.68,169.2,61.96
240,1.0,64.42,15.08,175.76,168.92,67.21
260,1.0,154.03,53.62,166.81,156.41,82.59
427,2.0,139.8,150.5,173.35,175.82,162.66
144,1.0,162.6,59.98,175.36,161.57,73.15
357,2.0,103.01,32.29,171.81,179.28,177.64
238,1.0,65.3,14.2,177.28,167.99,67.94
392,2.0,140.79,107.29,176.45,177.81,161.08
332,2.0,43.33,33.21,143.63,133.74,126.33
405,2.0,51.64,45.22,174.23,178.27,172.87
249,1.0,82.42,25.57,174.11,169.63,66.4
370,2.0,86.74,25.61,172.23,175.49,164.25
375,2.0,79.48,30.61,173.93,172.15,158.48
214,1.0,118.83,33.1,178.88,167.21,73.5
194,1.0,179.52,71.57,165.69,169.94,94.78
348,2.0,34.6,29.68,168.36,176.43,148.58
19,0.0,160.52,111.04,160.69,173.56,157.57
54,0.0,148.42,123.33,155.21,175.43,177.14
15,0.0,121.45,159.61,160.26,157.88,142.17
